session	ERR	ERR@10	nERR	nERR@10	nDCG	nDCG@10	AP	PC@10
all	0.1604	0.1521	0.2609	0.2460	0.1504	0.2244	0.0000	0.4327
1	0.2575	0.2506	0.4016	0.3916	0.2518	0.3515	0.0000	0.9000
2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	0.0638	0.0498	0.0995	0.0779	0.0582	0.0604	0.0000	0.4000
4	0.3758	0.3622	0.5848	0.5642	0.2091	0.3748	0.0000	0.8000
5	0.1217	0.1082	0.1894	0.1686	0.1224	0.1879	0.0000	0.6000
6	0.1417	0.1373	0.2203	0.2136	0.1101	0.2359	0.0000	0.8000
7	0.0413	0.0291	0.0643	0.0452	0.0275	0.0392	0.0000	0.2000
8	0.6430	0.6427	1.0000	1.0000	0.3706	1.0000	0.0000	1.0000
9	0.6430	0.6427	1.0000	1.0000	0.3577	1.0000	0.0000	1.0000
10	0.2988	0.2967	0.4647	0.4616	0.4235	0.5518	0.0000	0.7000
11	0.2024	0.1678	0.3149	0.2611	0.1920	0.1627	0.0000	1.0000
12	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	0.3230	0.3139	0.5023	0.4885	0.1778	0.3272	0.0000	1.0000
14	0.1443	0.1240	0.2244	0.1930	0.1938	0.1924	0.0000	0.7000
15	0.2436	0.2339	0.3789	0.3640	0.2517	0.3469	0.0000	0.9000
16	0.3854	0.3775	0.5994	0.5875	0.2949	0.4447	0.0000	1.0000
17	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	0.0329	0.0000	0.0579	0.0000	0.1063	0.0000	0.0000	0.0000
20	0.0301	0.0063	0.0529	0.0111	0.0761	0.0191	0.0000	0.1000
21	0.0499	0.0499	0.0878	0.0890	0.0678	0.1203	0.0000	0.5000
22	0.3212	0.3212	0.8823	0.9170	0.5134	0.8512	0.0000	0.9000
23	0.0083	0.0000	0.0227	0.0000	0.0313	0.0000	0.0000	0.0000
24	0.3858	0.3775	0.6004	0.5881	0.2557	0.4837	0.0000	1.0000
25	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
26	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
27	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
28	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
29	0.1626	0.1536	0.4373	0.4277	0.2198	0.4033	0.0000	0.9000
30	0.0673	0.0464	0.1809	0.1293	0.1782	0.1898	0.0000	0.6000
31	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
32	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
33	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
34	0.1875	0.1875	0.1953	0.1954	0.0508	0.0941	0.0000	0.1000
35	0.0312	0.0312	0.0487	0.0488	0.0145	0.0420	0.0000	0.1000
36	0.1199	0.1185	0.1869	0.1852	0.0844	0.2337	0.0000	0.6000
37	0.0375	0.0375	0.0585	0.0586	0.0158	0.0456	0.0000	0.1000
38	0.2297	0.2287	0.3572	0.3558	0.4601	0.5666	0.0000	0.9000
39	0.1188	0.1032	0.3078	0.2733	0.3429	0.3878	0.0000	0.6000
40	0.0621	0.0528	0.1080	0.0928	0.0570	0.1179	0.0000	0.6000
41	0.1736	0.1589	0.3019	0.2792	0.1301	0.2577	0.0000	1.0000
42	0.1526	0.1421	0.2655	0.2498	0.1369	0.2919	0.0000	0.9000
43	0.1892	0.1770	0.3291	0.3111	0.1609	0.3313	0.0000	1.0000
44	0.1730	0.1589	0.4488	0.4208	0.1421	0.3333	0.0000	1.0000
45	0.0536	0.0407	0.1391	0.1077	0.0721	0.1372	0.0000	0.4000
46	0.6429	0.6427	0.9999	1.0000	0.8336	1.0000	0.0000	1.0000
47	0.6429	0.6427	0.9999	1.0000	0.8285	1.0000	0.0000	1.0000
48	0.6429	0.6427	0.9999	1.0000	0.8091	1.0000	0.0000	1.0000
49	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
50	0.6429	0.6427	0.9999	1.0000	0.8091	1.0000	0.0000	1.0000
51	0.6429	0.6427	0.9999	1.0000	0.8091	1.0000	0.0000	1.0000
52	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
53	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
54	0.3341	0.3284	0.5198	0.5112	0.1095	0.2817	0.0000	0.5000
55	0.2548	0.2394	0.3964	0.3728	0.0800	0.1704	0.0000	0.4000
56	0.2664	0.2536	0.4145	0.3949	0.1783	0.3052	0.0000	0.9000
57	0.2662	0.2545	0.2751	0.2629	0.1475	0.2221	0.0000	0.6000
58	0.1475	0.1457	0.1524	0.1505	0.1055	0.2285	0.0000	0.7000
59	0.6367	0.6339	0.6579	0.6550	0.2361	0.4801	0.0000	0.9000
60	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
61	0.0757	0.0561	0.1223	0.0912	0.1070	0.1152	0.0000	0.3000
62	0.0664	0.0595	0.1072	0.0967	0.0497	0.0847	0.0000	0.4000
63	0.0688	0.0464	0.1070	0.0723	0.0633	0.0623	0.0000	0.6000
64	0.5763	0.5716	0.5955	0.5906	0.1990	0.4078	0.0000	1.0000
